2025-07-21 15:45:32.161 [TestNG-test-Surefire test-1] INFO  com.automation.base.BaseTest - Closing WebDriver on thread: TestNG-test-Surefire test-1
2025-07-21 15:45:32.161 [TestNG-test-Surefire test-1] INFO  com.automation.utils.ExtentManager - ℹ️ INFO: Closing WebDriver
2025-07-21 15:45:32.180 [TestNG-test-Surefire test-3] INFO  com.automation.base.BaseTest - Test passed: testValidLogin
2025-07-21 15:45:32.180 [TestNG-test-Surefire test-3] INFO  com.automation.utils.ExtentManager - ✅ PASS: Test passed: testValidLogin
2025-07-21 15:45:32.180 [TestNG-test-Surefire test-3] INFO  com.automation.base.BaseTest - Closing WebDriver on thread: TestNG-test-Surefire test-3
2025-07-21 15:45:32.180 [TestNG-test-Surefire test-3] INFO  com.automation.utils.ExtentManager - ℹ️ INFO: Closing WebDriver
2025-07-21 15:45:32.184 [TestNG-test-Surefire test-2] ERROR com.automation.base.BaseTest - Test failed: testSignInButtonVisibility
2025-07-21 15:45:32.185 [TestNG-test-Surefire test-2] ERROR com.automation.utils.ExtentManager - ❌ FAIL: Test failed: testSignInButtonVisibility
2025-07-21 15:45:32.185 [TestNG-test-Surefire test-2] INFO  com.automation.base.BaseTest - Taking screenshot: Test Failed: testSignInButtonVisibility
2025-07-21 15:45:32.251 [TestNG-test-Surefire test-1] DEBUG com.automation.utils.ExtentManager - Removed test from thread: TestNG-test-Surefire test-1
2025-07-21 15:45:32.264 [TestNG-test-Surefire test-3] DEBUG com.automation.utils.ExtentManager - Removed test from thread: TestNG-test-Surefire test-3
2025-07-21 15:45:32.351 [TestNG-test-Surefire test-2] ERROR com.automation.utils.ExtentManager - ❌ FAIL: Test failure reason: This is an error message expected [true] but found [false]
2025-07-21 15:45:32.351 [TestNG-test-Surefire test-2] INFO  com.automation.base.BaseTest - Closing WebDriver on thread: TestNG-test-Surefire test-2
2025-07-21 15:45:32.351 [TestNG-test-Surefire test-2] INFO  com.automation.utils.ExtentManager - ℹ️ INFO: Closing WebDriver
2025-07-21 15:45:32.434 [TestNG-test-Surefire test-2] DEBUG com.automation.utils.ExtentManager - Removed test from thread: TestNG-test-Surefire test-2
2025-07-21 15:45:32.450 [main] INFO  com.automation.utils.ExtentManager - ℹ️ INFO: Test Suite Completed
2025-07-21 15:45:32.545 [main] INFO  com.automation.utils.ExtentManager - ExtentReports flushed successfully
